Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;3,945.50;1,984.25;5,679.25;29,754.00;3.25;142.00;0.00;3,391.75;1,860.75;2,894.25;489.50;1,589.75
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;3,908.75;1,997.25;5,345.75;29,660.50;3.00;141.50;0.00;3,372.75;1,854.75;2,824.50;415.75;1,538.25
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;3,893.00;2,017.50;5,188.50;29,743.50;3.00;141.00;0.00;3,373.50;1,828.75;2,852.50;403.75;1,531.75
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;3,868.00;2,026.75;4,674.25;29,208.00;3.25;141.00;0.00;3,393.00;1,817.50;2,874.50;325.50;1,549.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;3,872.50;2,048.25;4,439.25;29,138.25;3.00;141.00;0.00;3,393.75;1,832.75;2,857.00;177.75;1,515.75
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;3,909.75;2,056.75;4,624.75;29,263.00;3.25;140.00;0.00;3,399.25;1,831.50;2,895.50;180.00;1,507.00
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;3,968.00;1,968.50;4,285.25;29,253.25;3.25;139.25;0.00;3,435.00;1,835.00;2,902.00;148.25;1,502.50
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;4,071.00;1,966.25;3,897.25;29,850.25;4.00;140.00;0.00;3,420.25;1,848.25;2,888.00;152.50;1,491.75
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;4,170.25;1,992.75;3,856.50;30,530.00;425.25;139.25;0.00;3,418.00;1,835.00;2,890.50;25.75;1,492.25
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;4,170.75;1,996.00;3,231.50;30,622.75;3,221.25;139.25;0.00;3,414.50;1,816.25;2,857.50;143.00;1,486.25
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;4,096.75;2,013.00;3,470.00;30,491.75;6,354.00;139.00;0.00;3,488.50;1,859.50;2,869.00;61.75;1,549.75
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;4,049.50;2,077.75;3,573.25;30,437.25;8,161.75;139.25;0.00;3,390.75;1,891.75;2,793.25;94.75;1,572.00
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;3,990.75;2,039.00;3,296.00;30,556.25;7,806.75;139.75;0.00;3,388.75;1,910.50;2,829.75;128.25;1,581.75
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;3,977.25;1,950.75;3,278.50;29,917.50;6,390.00;138.00;0.00;3,401.50;1,913.75;2,780.50;77.00;1,535.25
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;4,016.50;1,941.25;3,304.25;28,651.50;4,216.75;138.00;0.00;3,568.50;1,915.75;2,827.75;587.25;1,518.50
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;4,114.25;1,952.75;3,809.75;27,566.00;1,429.25;138.25;0.00;3,546.75;1,955.75;2,927.25;1,437.75;1,497.75
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;4,293.25;1,937.25;4,230.50;27,499.50;84.50;144.50;0.00;3,555.75;2,064.25;3,446.50;1,883.00;1,517.25
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;4,422.00;2,035.00;4,448.00;28,103.50;5.75;153.50;0.00;3,691.25;2,182.00;3,719.25;2,981.00;1,538.50
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;4,463.50;2,083.25;4,487.00;27,138.25;5.25;149.00;0.00;3,686.25;2,229.75;3,725.25;4,145.50;1,537.50
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;4,424.75;2,051.50;4,588.75;26,511.75;4.50;140.00;0.00;3,735.00;2,220.25;3,501.50;2,952.75;1,530.00
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;4,314.25;1,998.25;4,638.75;25,625.50;3.25;137.75;0.00;3,740.25;2,164.75;3,336.50;1,117.50;1,533.75
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;4,227.25;1,962.00;4,654.25;24,514.25;3.00;138.50;0.00;3,615.50;2,109.00;3,366.50;697.00;1,550.50
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;4,120.25;1,983.75;4,559.75;23,112.25;2.75;139.25;0.00;3,639.25;1,978.25;3,236.00;572.25;1,554.50
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;4,016.75;1,960.75;3,722.75;22,031.00;3.00;140.50;0.00;3,591.75;1,853.75;3,216.50;343.75;1,597.25
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;3,918.25;1,934.75;3,619.25;21,015.50;3.25;141.00;0.00;3,472.25;1,770.00;3,212.00;120.00;1,637.50
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;3,878.75;1,946.50;3,763.75;20,092.00;3.00;141.25;0.00;3,474.25;1,763.75;3,135.50;37.25;1,595.00
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;3,863.50;1,978.75;3,696.00;19,998.25;3.25;141.25;0.00;3,444.75;1,789.50;3,201.00;153.50;1,595.25
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;3,868.25;1,871.50;4,018.00;21,187.00;3.50;140.50;0.00;3,441.00;1,879.25;3,280.75;7.50;1,571.50
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;3,883.25;1,894.50;4,777.00;22,859.25;3.00;141.00;0.00;3,439.25;1,918.25;3,382.50;51.00;1,553.75
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;3,918.75;1,906.75;5,096.00;25,363.00;3.25;140.25;0.00;3,431.25;1,975.00;3,716.25;185.25;1,586.25
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;4,059.00;1,882.00;5,178.50;28,346.00;3.50;148.75;0.00;3,388.50;2,082.50;4,194.25;366.50;1,622.25
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;4,213.00;1,934.75;5,190.75;30,043.25;3.00;151.25;0.00;3,350.50;2,152.00;4,792.75;962.50;1,619.00
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;4,319.00;1,951.75;5,175.75;31,055.50;50.75;163.50;0.00;3,383.00;2,238.75;5,565.00;1,358.50;1,657.25
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;4,367.00;2,174.25;5,187.75;30,830.00;539.50;180.25;0.00;3,687.00;2,271.00;6,023.50;2,419.25;1,712.50
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;4,357.25;2,011.00;5,186.25;30,662.25;1,395.25;188.50;0.00;3,994.50;2,284.00;6,083.00;1,418.00;1,717.75
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;4,327.25;2,008.25;4,353.75;29,185.00;2,159.00;192.00;0.00;4,383.75;2,307.00;6,120.50;1,710.50;1,698.00
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;4,288.25;2,243.75;3,806.00;28,099.75;2,630.75;193.00;0.00;4,794.50;2,288.50;6,236.25;3,017.25;1,749.25
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;4,217.50;2,007.25;3,366.25;27,624.00;2,310.75;190.25;0.00;4,802.75;2,380.00;6,196.75;2,311.25;1,731.00
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;4,238.00;2,065.25;3,298.00;27,090.00;1,235.50;190.75;0.00;4,982.75;2,292.25;6,208.00;3,616.50;1,708.50
