Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;44,351.25;46,958.25;2,607.00;12,771.00
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41,957.75;44,621.25;2,663.50;11,832.75
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;40,888.00;43,811.50;2,923.50;12,149.25
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;39,964.00;43,291.75;3,327.75;12,465.75
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;39,733.50;43,295.25;3,561.75;13,524.25
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;39,223.00;42,121.75;2,898.75;15,102.00
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;38,812.00;41,149.25;2,337.25;15,002.50
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;39,485.50;41,399.25;1,913.75;16,575.00
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;40,711.25;42,423.00;1,711.75;19,616.25
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,931.25;44,417.50;1,486.25;21,186.75
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;44,824.75;46,105.75;1,281.00;22,616.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;47,201.75;48,704.00;1,502.25;24,616.50
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;47,800.00;48,489.00;689.00;24,941.00
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;46,868.50;47,799.75;931.25;25,727.75
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;46,193.00;46,809.75;616.75;27,492.50
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;46,142.00;46,437.75;295.75;29,608.25
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;48,370.50;48,429.00;58.50;31,441.50
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;52,123.00;52,209.25;86.25;33,042.50
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;53,111.50;53,265.25;153.75;31,961.00
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;52,129.75;52,343.25;213.50;28,977.75
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;50,173.75;50,379.50;205.75;25,871.75
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;48,523.75;48,744.50;220.75;23,470.00
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;47,954.00;48,469.00;515.00;22,533.00
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;45,324.25;45,915.75;591.50;19,446.75
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;43,097.75;46,662.25;3,564.50;17,146.75
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;41,893.75;46,176.50;4,282.75;16,214.00
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;41,165.00;45,308.00;4,143.00;16,317.75
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;40,933.50;44,851.75;3,918.25;15,636.75
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;41,110.50;45,220.25;4,109.75;16,916.00
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;41,151.75;45,065.75;3,914.00;16,603.50
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;40,815.50;42,978.00;2,162.50;15,722.25
